iter	Passed	Remaining
0	2	8747
1	4	7278
2	6	6852
3	8	6628
4	10	6554
5	13	6548
6	15	6508
7	18	6932
8	21	7121
9	24	7267
10	26	7218
11	29	7365
12	32	7486
13	34	7464
14	37	7379
15	39	7344
16	41	7203
17	42	7100
18	48	7581
19	50	7540
20	53	7579
21	55	7513
22	58	7508
23	59	7367
24	61	7285
25	63	7271
26	66	7369
27	70	7470
28	73	7518
29	77	7634
30	79	7612
31	81	7589
32	87	7823
33	93	8180
34	99	8399
35	103	8489
36	109	8781
37	114	8928
38	118	9026
39	123	9106
40	127	9220
41	132	9323
42	136	9410
43	141	9485
44	145	9577
45	149	9614
46	152	9605
47	156	9601
48	160	9692
49	164	9712
50	168	9755
51	172	9787
52	175	9771
53	180	9824
54	184	9905
55	188	9907
56	192	9938
57	196	9992
58	201	10049
59	205	10063
60	208	10067
61	213	10133
62	219	10210
63	221	10153
64	228	10310
65	231	10285
66	237	10397
67	241	10430
68	247	10533
69	251	10533
70	255	10533
71	259	10548
72	266	10667
73	271	10729
74	276	10776
75	279	10767
76	284	10811
77	290	10889
78	295	10923
79	299	10938
80	302	10912
81	307	10928
82	310	10900
83	313	10894
84	319	10949
85	322	10928
86	326	10948
87	330	10926
88	335	10962
89	339	10984
90	343	10985
91	347	10987
92	351	10989
93	355	10984
94	358	10970
95	363	11010
96	366	10976
97	369	10951
98	374	10973
99	379	11018
100	383	10995
101	388	11026
102	391	11002
103	394	10976
104	398	10991
105	401	10963
106	406	10993
107	410	10990
108	415	11008
109	420	11044
110	422	11002
111	426	10991
112	430	11006
113	434	11011
114	438	11010
115	442	11007
116	446	11010
117	449	10985
118	454	11001
119	458	10999
120	462	11007
121	466	11011
122	469	10989
123	474	11008
124	479	11026
125	483	11024
126	487	11022
127	491	11018
128	495	11032
129	499	11036
130	504	11052
131	507	11030
132	510	11014
133	513	10987
134	516	10963
135	519	10949
136	522	10920
137	526	10925
138	529	10905
139	536	10958
140	539	10942
141	543	10940
142	546	10925
143	551	10931
144	555	10934
145	557	10907
146	564	10946
147	567	10944
148	571	10927
149	575	10933
150	577	10899
151	582	10922
152	586	10917
153	591	10935
154	595	10923
155	599	10922
156	602	10911
157	606	10904
158	614	10986
159	626	11117
160	640	11290
161	648	11360
162	655	11411
163	661	11439
164	666	11456
165	672	11474
166	678	11505
167	682	11505
168	692	11592
169	697	11605
170	702	11617
171	720	11850
172	724	11832
173	726	11794
174	728	11759
175	731	11734
176	733	11703
177	754	11959
178	755	11913
179	760	11915
180	767	11947
181	782	12123
182	789	12157
183	792	12121
184	797	12141
185	801	12119
186	805	12111
187	808	12090
188	811	12067
189	815	12062
190	818	12043
191	823	12040
192	829	12057
193	833	12057
194	837	12049
195	841	12037
196	843	12002
197	845	11959
198	847	11929
199	849	11892
200	851	11854
201	853	11821
202	855	11784
203	857	11753
204	859	11718
205	862	11702
206	865	11672
207	867	11646
208	870	11620
209	872	11593
210	874	11560
211	878	11546
212	880	11520
213	882	11491
214	884	11459
215	887	11441
